,Unnamed: 0,adult,backdrop_path,genre_ids,id,original_language,original_title,overview,popularity,poster_path,release_date,title,video,vote_average,vote_count,tmdb_id,poster_url
10,10,False,/9l6bcHNFLR2fcCBSPzEeqxiQhwU.jpg,"[28, 35, 80, 9648]",1374534,nl,Bad Boa's,"When an overeager community officer and a reckless ex-detective are forced to team up, plenty of chaos ensues on the streets of Rotterdam.",235.3907,/7bcndiaTgu1Kj5a6qyCmsWYdtI.jpg,2025-07-10,Almost Cops,False,5.833,90,1374534,https://image.tmdb.org/t/p/w500/7bcndiaTgu1Kj5a6qyCmsWYdtI.jpg
11,11,False,/zNriRTr0kWwyaXPzdg1EIxf0BWk.jpg,"[878, 12, 28]",1234821,en,Jurassic World Rebirth,"Five years after the events of Jurassic World Dominion, covert operations expert Zora Bennett is contracted to lead a skilled team on a top-secret mission to secure genetic material from the world's three most massive dinosaurs. When Zora's operation intersects with a civilian family whose boating expedition was capsized, they all find themselves stranded on an island where they come face-to-face with a sinister, shocking discovery that's been hidden from the world for decades.",244.2464,/q0fGCmjLu42MPlSO9OYWpI5w86I.jpg,2025-07-01,Jurassic World Rebirth,False,6.365,776,1234821,https://image.tmdb.org/t/p/w500/1RICxzeoNCAO5NpcRMIgg1XT6fm.jpg
12,12,False,/l3ycQYwWmbz7p8otwbomFDXIEhn.jpg,"[16, 14, 35, 10402, 10751, 28]",803796,en,KPop Demon Hunters,"When K-pop superstars Rumi, Mira and Zoey aren't selling out stadiums, they're using their secret powers to protect their fans from supernatural threats.",212.9718,/22AouvwlhlXbe3nrFcjzL24bvWH.jpg,2025-06-20,KPop Demon Hunters,False,8.531,762,803796,https://image.tmdb.org/t/p/w500/22AouvwlhlXbe3nrFcjzL24bvWH.jpg
13,13,False,/rthMuZfFv4fqEU4JVbgSW9wQ8rs.jpg,"[28, 878, 12]",986056,en,Thunderbolts*,"After finding themselves ensnared in a death trap, seven disillusioned castoffs must embark on a dangerous mission that will force them to confront the darkest corners of their pasts.",202.2614,/hqcexYHbiTBfDIdDWxrxPtVndBX.jpg,2025-04-30,Thunderbolts*,False,7.417,1957,986056,https://image.tmdb.org/t/p/w500/hqcexYHbiTBfDIdDWxrxPtVndBX.jpg
14,14,False,/uIpJPDNFoeX0TVml9smPrs9KUVx.jpg,"[27, 9648]",574475,en,Final Destination Bloodlines,"Plagued by a violent recurring nightmare, college student Stefanie heads home to track down the one person who might be able to break the cycle and save her family from the grisly demise that inevitably awaits them all.",199.7538,/6WxhEvFsauuACfv8HyoVX6mZKFj.jpg,2025-05-14,Final Destination Bloodlines,False,7.184,1718,574475,https://image.tmdb.org/t/p/w500/6WxhEvFsauuACfv8HyoVX6mZKFj.jpg
15,15,False,/xVcffNU61CclEGgtiWP7KLIE2dm.jpg,"[27, 28, 14, 12]",1058537,en,Angels Fallen: Warriors of Peace,"When an Iraq War veteran receives a calling from a higher power, he embarks on a mission to stop a fallen angel from raising an army of the dead to take over the world.",190.7492,/dKdKUSGQ9E0G73WPr9xIHrofpkT.jpg,2024-07-09,Angels Fallen: Warriors of Peace,False,4.974,19,1058537,https://image.tmdb.org/t/p/w500/dKdKUSGQ9E0G73WPr9xIHrofpkT.jpg
16,16,False,/s94NjfKkcSczZ1FembwmQZwsuwY.jpg,"[878, 12]",617126,en,The Fantastic Four: First Steps,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",194.6445,/x26MtUlwtWD26d0G0FXcppxCJio.jpg,2025-07-23,The Fantastic Four: First Steps,False,7.0,132,617126,https://image.tmdb.org/t/p/w500/x26MtUlwtWD26d0G0FXcppxCJio.jpg
17,18,False,/vJbEUMeI2AxBUZKjP6ZVeVNNTLh.jpg,"[28, 53, 35]",749170,en,Heads of State,"The UK Prime Minister and US President have a public rivalry that risks their countries' alliance. But when they become targets of a powerful enemy, they're forced to rely on each other as they go on a wild, multinational run. Allied with Noel, a brilliant MI6 agent, they must find a way to thwart a conspiracy that threatens the free world.",164.3775,/lVgE5oLzf7ABmzyASEVcjYyHI41.jpg,2025-07-02,Heads of State,False,6.945,532,749170,https://image.tmdb.org/t/p/w500/lVgE5oLzf7ABmzyASEVcjYyHI41.jpg
18,19,False,/iZ0ZSnhmHB3k1KDkDzEz65f5iia.jpg,"[16, 28, 878]",1326106,ja,アニメ『怪獣８号』第１期総集編／同時上映「保科の休日」,"In a Kaiju-filled Japan, Kafka Hibino works in monster disposal. After reuniting with his childhood friend Mina Ashiro, a rising star in the anti-Kaiju Defense Force, he decides to pursue his abandoned dream of joining the Force, when he suddenly transforms into the powerful ""Kaiju No. 8."" An action-packed recap of the first season of Kaiju No. 8 and a new original episode, Hoshina's Day Off.",142.2022,/1aEfyTWUK8ZBk4aw7Ck0qEoF8PW.jpg,2025-03-28,Kaiju No. 8: Mission Recon,False,7.784,37,1326106,https://image.tmdb.org/t/p/w500/1aEfyTWUK8ZBk4aw7Ck0qEoF8PW.jpg
19,20,False,/s94NjfKkcSczZ1FembwmQZwsuwY.jpg,"[878, 12]",617126,en,The Fantastic Four: First Steps,"Against the vibrant backdrop of a 1960s-inspired, retro-futuristic world, Marvel's First Family is forced to balance their roles as heroes with the strength of their family bond, while defending Earth from a ravenous space god called Galactus and his enigmatic Herald, Silver Surfer.",194.6445,/x26MtUlwtWD26d0G0FXcppxCJio.jpg,2025-07-23,The Fantastic Four: First Steps,False,7.0,120,617126,https://image.tmdb.org/t/p/w500/x26MtUlwtWD26d0G0FXcppxCJio.jpg
20,21,False,,[35],968171,ja,性教育ママ,"An erotic comedy depicting the sex adventures of  young wives living in an apartment complex, that are not satisfied with just having sex with their husbands.",162.3232,/xghWMg0pkBOdLHCTESyeyHU68wl.jpg,1973-11-20,Sex Education Mistresses,False,6.056,9,968171,https://image.tmdb.org/t/p/w500/xghWMg0pkBOdLHCTESyeyHU68wl.jpg
21,22,False,/tdMbbFhqyEqOK1QzNTvJjHWKbZX.jpg,"[27, 53, 28]",1429744,th,ปากกัด ตีนถีบ,"In a fight for survival against a horrifying army of zombies, a former Muay Thai fighter must use skill, speed and grit to save his girlfriend.",120.6702,/yHYj2t3NzsjkHVYa0bPri4sMBsg.jpg,2025-07-09,Ziam,False,6.668,113,1429744,https://image.tmdb.org/t/p/w500/yHYj2t3NzsjkHVYa0bPri4sMBsg.jpg
22,23,False,/qwK9soQmmJ7kRdjLZVXblw3g7AQ.jpg,"[28, 12, 53, 80]",7451,en,xXx,"Xander Cage is your standard adrenaline junkie with no fear and a lousy attitude. When the US Government ""recruits"" him to go on a mission, he's not exactly thrilled. His mission: to gather information on an organization that may just be planning the destruction of the world, led by the nihilistic Yorgi.",131.095,/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg,2002-08-09,xXx,False,5.951,4479,7451,https://image.tmdb.org/t/p/w500/xeEw3eLeSFmJgXZzmF2Efww0q3s.jpg
23,24,False,/pMaUy5KhLydueZ4ybk9sKuqXQFI.jpg,[27],1357933,en,The Cellar,"A young girl wakes up imprisoned underground, with amnesia. She must escape, unravel the mystery behind her captivity, and confront her personal struggles. A suspenseful tale of survival, truth, and inner turmoil unfolds.",123.7777,/tNUzN0zqewZEmvnmyFSiGUKUS82.jpg,2024-09-08,The Cellar,False,7.6,10,1357933,https://image.tmdb.org/t/p/w500/tNUzN0zqewZEmvnmyFSiGUKUS82.jpg
24,25,False,/wcFV4uOdSbC0cSjs7ecAyOU6t59.jpg,"[16, 10751, 12, 14, 35]",947478,en,Diplodocus,"When the world around him is mysteriously erased, a little green dinosaur named Diplodocus must travel through the pages of a comic book and adventure through time to bring color back to his land. Alongside a wizard and two scientists, Diplo’s plans go awry as he learns that there may be a dimension to his world that he never considered.",120.3385,/9mnMMiwv20EL5weJrLZCaF8cM2u.jpg,2024-10-04,The Green Dinosaur,False,8.0,8,947478,https://image.tmdb.org/t/p/w500/9mnMMiwv20EL5weJrLZCaF8cM2u.jpg
25,26,False,/lqwwGkwJHtz9QgKtz4zeY19YgDg.jpg,"[10749, 18]",1136867,en,Materialists,"A young, ambitious New York City matchmaker finds herself torn between the perfect match and her imperfect ex.",117.3064,/eDo0pNruy0Qgj6BdTyHIR4cxHY8.jpg,2025-06-12,Materialists,False,6.9,131,1136867,https://image.tmdb.org/t/p/w500/eDo0pNruy0Qgj6BdTyHIR4cxHY8.jpg
26,27,False,/wYbOd1YdpDonQUHwRCTCY2grSq4.jpg,"[16, 14, 12]",615453,zh,哪吒之魔童降世,"A young boy is born as the reincarnation of a demonic power, into a society that hates and fears him. Destined by prophecy to bring destruction to the world, Nezha must choose between good and evil to see if he can change his fate.",117.6308,/phM9bb6s9c60LA8qwsdk7U1N2cS.jpg,2019-07-26,Ne Zha,False,7.945,568,615453,https://image.tmdb.org/t/p/w500/phM9bb6s9c60LA8qwsdk7U1N2cS.jpg
27,28,False,/9A0wQG38VdEu3DYh8HzXKXKhA6g.jpg,"[12, 35, 10751]",1287536,en,Dora and the Search for Sol Dorado,"Dora, Diego, and their new friends trek through the perilous dangers of the Amazonian jungle in search of the ancient and powerful treasure of Sol Dorado to keep it out of enemy hands.",102.6438,/r3d6u2n7iPoWNsSWwlJJWrDblOH.jpg,2025-07-02,Dora and the Search for Sol Dorado,False,6.843,70,1287536,https://image.tmdb.org/t/p/w500/r3d6u2n7iPoWNsSWwlJJWrDblOH.jpg
28,29,False,/zYnbFFXPe4IfCtFtaIWigYrdqLP.jpg,"[27, 9648]",675308,ko,호텔 레이크,"When Yoo-mi searches out her mother's friend at a hotel to drop off her younger sister, she falls into unexpected mystery and horror.",93.2957,/lWvi811WsBdBqFU8ZCg0ZWnHovQ.jpg,2020-04-29,Lingering,False,6.6,22,675308,https://image.tmdb.org/t/p/w500/lWvi811WsBdBqFU8ZCg0ZWnHovQ.jpg
29,30,False,/5esDYWV0NoFwqPa1iC0g9akqZo9.jpg,[27],1151031,en,Bring Her Back,"Following the death of their father, a brother and sister are introduced to their new sibling by their foster mother, only to learn that she has a terrifying secret.",105.9636,/tObSf1VzzHt9xB0csanFtb3DRjf.jpg,2025-05-28,Bring Her Back,False,7.5,307,1151031,https://image.tmdb.org/t/p/w500/tObSf1VzzHt9xB0csanFtb3DRjf.jpg
30,31,False,/azA5hRBmfrXpjel7xpL3iMBwgwW.jpg,"[10749, 18]",611251,ja,女高生トリオ 性感試験,"Three high school girls. One is experienced, one has fantasies and one is curious. What more will they learn before graduation?",105.4174,/9GSLrU0aoR6Pi2FQ0ttXV2thSxJ.jpg,1977-02-23,Jokōsei torio: seikan shiken,False,8.0,4,611251,https://image.tmdb.org/t/p/w500/9GSLrU0aoR6Pi2FQ0ttXV2thSxJ.jpg
31,32,False,/vHUv5IRo7fsoeqN2KA59PqotTpD.jpg,"[27, 53, 878]",1268870,es,Nudus,"As she awakens from a prolonged coma, a woman is shocked to learn all the details of her life her captors her captors have access to.",110.093,/7gV1u6ozmtNBuWxfndldwEM4KlN.jpg,2024-04-11,Nudus,False,4.0,1,1268870,https://image.tmdb.org/t/p/w500/7gV1u6ozmtNBuWxfndldwEM4KlN.jpg
32,33,False,/hyxKzbKnVWWJelyO2fagFFTHu96.jpg,"[53, 18]",1269208,ko,84제곱미터,"A man who poured his life savings into a new apartment discovers its walls are full of disturbing noises, hostile neighbors and unsettling secrets.",100.8421,/5hlNv3Kd9xovvSgrslWhMriGpZ8.jpg,2025-07-17,Wall to Wall,False,6.6,66,1269208,https://image.tmdb.org/t/p/w500/5hlNv3Kd9xovvSgrslWhMriGpZ8.jpg
33,34,False,/xPNDRM50a58uvv1il2GVZrtWjkZ.jpg,"[28, 12, 53]",575265,en,Mission: Impossible - The Final Reckoning,"Ethan Hunt and team continue their search for the terrifying AI known as the Entity — which has infiltrated intelligence networks all over the globe — with the world's governments and a mysterious ghost from Hunt's past on their trail. Joined by new allies and armed with the means to shut the Entity down for good, Hunt is in a race against time to prevent the world as we know it from changing forever.",92.0693,/z53D72EAOxGRqdr7KXXWp9dJiDe.jpg,2025-05-17,Mission: Impossible - The Final Reckoning,False,7.2,958,575265,https://image.tmdb.org/t/p/w500/z53D72EAOxGRqdr7KXXWp9dJiDe.jpg
34,35,False,/iHHWF01W2vNpjI8UzWh2F7tJEZp.jpg,"[28, 18]",1246369,ja,室町無頼,"Set in war-torn 15th century Kyoto, on the eve of the Onin War, the movie centers on a band of outlaws led by Hyoe (Oizumi) a scoundrel whose lethal sword skills place him at the tip of the spear in a deadly uprising against the corrupt Shogunate and its army, led by former friend-turned-archrival, Doken (Tsutsumi).",91.3981,/5sb7yYbvB7IstubeGqmS8x3gV2d.jpg,2025-01-17,Muromachi Burai,False,9.2,9,1246369,https://image.tmdb.org/t/p/w500/5sb7yYbvB7IstubeGqmS8x3gV2d.jpg
35,36,False,/6van4BavoNXaZhCPdzLHNQ4Uc8H.jpg,"[53, 28]",1087891,en,The Amateur,"After his life is turned upside down when his wife is killed in a London terrorist attack, a brilliant but introverted CIA decoder takes matters into his own hands when his supervisors refuse to take action.",79.6146,/SNEoUInCa5fAgwuEBMIMBGvkkh.jpg,2025-04-09,The Amateur,False,6.992,903,1087891,https://image.tmdb.org/t/p/w500/SNEoUInCa5fAgwuEBMIMBGvkkh.jpg
36,37,False,/upOoRdV3pQmMqShMyfDYSiEwbm1.jpg,"[53, 27]",1275003,en,Spirit in the Blood,"After a young girl is found dead in a secluded religious mountain community, a pack of teenage girls decide to fight against the evil spirits they believe killed her by embracing their own dark nature.",89.4879,/1rEGnHwe4BqiARrjzcan6tmIisK.jpg,2024-11-07,Spirit in the Blood,False,4.15,10,1275003,https://image.tmdb.org/t/p/w500/1rEGnHwe4BqiARrjzcan6tmIisK.jpg
37,38,False,/2Nti3gYAX513wvhp8IiLL6ZDyOm.jpg,"[10751, 35, 12, 14]",950387,en,A Minecraft Movie,"Four misfits find themselves struggling with ordinary problems when they are suddenly pulled through a mysterious portal into the Overworld: a bizarre, cubic wonderland that thrives on imagination. To get back home, they'll have to master this world while embarking on a magical quest with an unexpected, expert crafter, Steve.",87.7154,/yFHHfHcUgGAxziP1C3lLt0q2T4s.jpg,2025-03-31,A Minecraft Movie,False,6.446,2104,950387,https://image.tmdb.org/t/p/w500/yFHHfHcUgGAxziP1C3lLt0q2T4s.jpg
38,39,False,/cfAGn86j4LYzRCKWSkXPnMxoru6.jpg,"[18, 35]",1406607,zh,戏台,"During the Republican era, wars and conflicts were frequent. On stage, the ""Overlord"" sings with resounding passion, while below, the absurd spectacle of life unfolds. They must both secure the opera troupe's livelihood and appease the audience in their seats. Once the curtain rises, how should this play be performed?",108.0459,/wSFGtkoz8SW6yIgu1Xvxs584QQt.jpg,2025-07-12,The Stage,False,10.0,2,1406607,https://image.tmdb.org/t/p/w500/wSFGtkoz8SW6yIgu1Xvxs584QQt.jpg
39,40,False,/eA4S3tlpYfEA7LTo3GOwYWzUG4z.jpg,"[10751, 35, 12, 16]",1084153,en,Sneaks,"Ty, a misguided, one-of-a-kind designer sneaker, doesn’t know life outside the comforts of his velvet-lined shoebox. After his sister is stolen by a shady collector, Ty must venture into New York City to find and rescue her. In his adventure, Ty meets a ragtag group of footwear friends from all walks of life who help him find the courage to step outside of his shoebox and find his sole-mate.",71.471,/3SipvmtH9VOyLmII9JLs34qFfil.jpg,2025-04-17,Sneaks,False,5.913,23,1084153,https://image.tmdb.org/t/p/w500/3SipvmtH9VOyLmII9JLs34qFfil.jpg
40,41,False,/68TGPnvmZ21NBOoV5IUZ4fQDyvZ.jpg,"[10402, 12, 10749, 35, 10751]",1243341,en,Z-O-M-B-I-E-S 4: Dawn of the Vampires,"A new adventure dawns for Zed and Addison when their summer road trip takes an unexpected detour, landing them in the middle of yet another monster rivalry: Daywalkers vs. Vampires. Tensions flare when Zed and Addison find themselves acting as camp counselors between the two opposing supernatural factions. With the help of Eliza and Willa, they must convince sworn enemies Nova and Victor to try to unite their warring worlds before an even greater threat endangers them all.",74.5723,/6rGsqBxI4r1YkS9FuraovWi465w.jpg,2025-07-10,Z-O-M-B-I-E-S 4: Dawn of the Vampires,False,7.0,79,1243341,https://image.tmdb.org/t/p/w500/krrfKguKiToDlwRexetLsRsNtH6.jpg
41,42,False,/nAxGnGHOsfzufThz20zgmRwKur3.jpg,"[27, 28, 53]",1233413,en,Sinners,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back.",74.0265,/4CkZl1LK6a5rXBqJB2ZP77h3N5i.jpg,2025-04-16,Sinners,False,7.572,2113,1233413,https://image.tmdb.org/t/p/w500/4CkZl1LK6a5rXBqJB2ZP77h3N5i.jpg
42,43,False,/yAqL0makiGke5yYiVWpmBDSKIVP.jpg,"[27, 18, 53]",1278950,en,The Ritual,"Two priests, one in crisis with his faith and the other confronting a turbulent past, must overcome their differences to perform a risky exorcism.",74.2632,/ktqPs5QyuF8SpKnipvVHb3fwD8d.jpg,2025-04-18,The Ritual,False,5.874,111,1278950,https://image.tmdb.org/t/p/w500/ktqPs5QyuF8SpKnipvVHb3fwD8d.jpg
43,44,False,/iTqw8QXIdMcPa20vmBCDpbdIReG.jpg,"[53, 18, 10749]",1236197,es,Juegos de Seducción,"Sebastián, a charismatic con artist who seduces women to steal their money, puts his retirement plans on hold after the sudden appearance of Carolina, an enigmatic woman who will expose him to the greatest danger of his career.",81.1113,/uOQCP7RB97H2r8QELb4jaunWzNb.jpg,2025-07-18,Follow,False,8.471,17,1236197,https://image.tmdb.org/t/p/w500/uOQCP7RB97H2r8QELb4jaunWzNb.jpg
44,45,False,/hniP6c6Tss51qKc5vYMycDBDf9P.jpg,"[27, 9648, 53]",1083433,en,I Know What You Did Last Summer,"When five friends inadvertently cause a deadly car accident, they cover up their involvement and make a pact to keep it a secret rather than face the consequences. A year later, their past comes back to haunt them and they're forced to confront a horrifying truth: someone knows what they did last summer…and is hell-bent on revenge.",73.9295,/A06yXys3hrCWu8xiNoHCFLTG5SH.jpg,2025-07-16,I Know What You Did Last Summer,False,5.954,87,1083433,https://image.tmdb.org/t/p/w500/A06yXys3hrCWu8xiNoHCFLTG5SH.jpg
45,46,False,/vNUwK5P42m81uG57kKI1WxSZwIQ.jpg,"[35, 10749]",1403735,te,లైలా,"Sonu Model, a renowned beautician from the old city, is forced to disguise himself as Laila, leading to a series of comedic, romantic, and action-packed events. Chaos ensues in this hilarious laugh riot",72.4684,/l4gsNxFPGpzbq0D6QK1a8vO1lBz.jpg,2025-02-14,Laila,False,5.8,5,1403735,https://image.tmdb.org/t/p/w500/l4gsNxFPGpzbq0D6QK1a8vO1lBz.jpg
46,47,False,/czG3u1h2s67XajoIF7sEXGeqTjr.jpg,"[27, 878, 53]",1103731,en,In Vitro,"On an isolated cattle farm, a couple experimenting with biotechnology have their lives upended when they discover a disturbing presence on their property.",63.3695,/oADha0l3dCm68rQfFL2AvZPs8pl.jpg,2025-03-27,In Vitro,False,8.2,5,1103731,https://image.tmdb.org/t/p/w500/oADha0l3dCm68rQfFL2AvZPs8pl.jpg
47,48,False,/apNfldKI3RiaukNwJzr8EjRG7Wc.jpg,"[53, 878]",1425045,de,Brick,"When a mysterious brick wall encloses their apartment building overnight, Tim and Olivia must unite with their wary neighbors to get out alive.",64.6682,/vTX9CxFNEQOlfXsgqec7xmc5UtD.jpg,2025-07-09,Brick,False,5.816,324,1425045,https://image.tmdb.org/t/p/w500/vTX9CxFNEQOlfXsgqec7xmc5UtD.jpg
48,49,False,/xVoj3HrOsnjOyyhqRD9jt5kTPc4.jpg,"[878, 35, 28]",605722,en,Long Distance,"After crash-landing on an alien planet, an asteroid miner must contend with the challenges of his new surroundings, while making his way across the harsh terrain to the only other survivor – a woman who is trapped in her escape pod.",72.8007,/m5NKltgQqqyoWJNuK18IqEGRG7J.jpg,2024-07-12,Long Distance,False,6.342,168,605722,https://image.tmdb.org/t/p/w500/m5NKltgQqqyoWJNuK18IqEGRG7J.jpg
49,50,False,/8aQYGyXKCohzoTjjxWzANPV2VBS.jpg,"[27, 53]",1257586,en,The Hangman,"Troubled father Leon takes son camping in Appalachia. Local cult summons evil Hangman demon. Son goes missing. Leon must confront cult, monster to find him amid rising body count.",66.7955,/rij9Eh4RVXyPet8A1BNU8pDvtmu.jpg,2024-05-30,The Hangman,False,5.957,47,1257586,https://image.tmdb.org/t/p/w500/rij9Eh4RVXyPet8A1BNU8pDvtmu.jpg
50,51,False,/6WqqEjiycNvDLjbEClM1zCwIbDD.jpg,"[27, 53, 878]",1100988,en,28 Years Later,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",66.5052,/giAiJSwOJcfA8Y4PCNMGAhfTSyA.jpg,2025-06-18,28 Years Later,False,7.1,613,1100988,https://image.tmdb.org/t/p/w500/mIg1qCkVxnAlM2TK3RUF0tdEXlE.jpg
51,51,False,/6WqqEjiycNvDLjbEClM1zCwIbDD.jpg,"[27, 53, 878]",1100988,en,28 Years Later,"Twenty-eight years since the rage virus escaped a biological weapons laboratory, now, still in a ruthlessly enforced quarantine, some have found ways to exist amidst the infected. One such group lives on a small island connected to the mainland by a single, heavily-defended causeway. When one member departs on a mission into the dark heart of the mainland, he discovers secrets, wonders, and horrors that have mutated not only the infected but other survivors as well.",66.5052,/giAiJSwOJcfA8Y4PCNMGAhfTSyA.jpg,2025-06-18,28 Years Later,False,7.1,613,1100988,https://image.tmdb.org/t/p/w500/mIg1qCkVxnAlM2TK3RUF0tdEXlE.jpg
